2026-02-15 14:58:59,816 | INFO | src.features.feature_engineering | Saved: fe_plots\Experience Category vs Placement Probability.png
2026-02-15 14:59:00,378 | INFO | src.features.feature_engineering | Saved: fe_plots\Academic Performance vs Placement Probability.png
2026-02-15 14:59:00,507 | INFO | src.features.feature_engineering | Saved: fe_plots\Skills match level.png
2026-02-15 14:59:00,663 | INFO | src.features.feature_engineering | Saved: fe_plots\Interview performance category.png
2026-02-15 14:59:00,663 | INFO | src.data.feature_scaling | Scaling features: ['communication_score', 'technical_score', 'skills_match_percentage', 'interview_score', 'years_of_experience']...
2026-02-15 14:59:00,669 | INFO | src.data.feature_scaling | Feature scaling completed
2026-02-15 14:59:01,197 | INFO | src.features.feature_engineering | Saved: fe_plots\Placement Probability Score.png
2026-02-15 14:59:01,198 | INFO | src.features.feature_engineering | Feature engineering completed successfully
2026-02-15 15:00:27,998 | INFO | __main__ | ML Pipeline started
2026-02-15 15:00:28,000 | INFO | src.data.data_load | Loading data from data/raw/HR_Job_Placement_Dataset.csv
2026-02-15 15:00:28,136 | INFO | src.data.data_load | Data loaded successfully from data/raw/HR_Job_Placement_Dataset.csv, shape: (51500, 26)
2026-02-15 15:00:28,137 | INFO | src.data.data_cleaning | starting data cleaning process....
2026-02-15 15:00:28,265 | INFO | src.data.data_cleaning | Data cleaning completed
2026-02-15 15:00:28,265 | INFO | src.data.data_preprocess | Starting data preprocessing (encoding)....
2026-02-15 15:00:28,317 | INFO | src.data.data_preprocess | Data preprocessing (encoding) completed
2026-02-15 15:00:28,321 | INFO | eda.eda | Starting EDA...
2026-02-15 15:00:28,523 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:00:28,557 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:00:28,642 | INFO | eda.eda | Saved: eda_plots\Interview score vs job acceptance.png
2026-02-15 15:00:28,751 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:00:28,774 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:00:28,838 | INFO | eda.eda | Saved: eda_plots\Skills Match Percentage vs Job Placement.png
2026-02-15 15:00:28,991 | INFO | eda.eda | Saved: eda_plots\Acceptance Rate by Company Tier.png
2026-02-15 15:00:29,116 | INFO | eda.eda | Saved: eda_plots\Placement Probability vs Years of Experience.png
2026-02-15 15:00:29,267 | INFO | eda.eda | Saved: eda_plots\Competition level vs job acceptance.png
2026-02-15 15:00:31,309 | INFO | eda.eda | Saved: eda_plots\Correlation Matrix of Numeric Features.png
2026-02-15 15:00:31,309 | INFO | eda.eda | EDA analysis completed successfully
2026-02-15 15:00:31,310 | INFO | src.features.feature_engineering | Starting feature engineering...
2026-02-15 15:00:31,840 | INFO | src.features.feature_engineering | Saved: fe_plots\Experience Category vs Placement Probability.png
2026-02-15 15:00:32,377 | INFO | src.features.feature_engineering | Saved: fe_plots\Academic Performance vs Placement Probability.png
2026-02-15 15:00:32,520 | INFO | src.features.feature_engineering | Saved: fe_plots\Skills match level.png
2026-02-15 15:00:32,663 | INFO | src.features.feature_engineering | Saved: fe_plots\Interview performance category.png
2026-02-15 15:00:32,664 | INFO | src.data.feature_scaling | Scaling features: ['communication_score', 'technical_score', 'skills_match_percentage', 'interview_score', 'years_of_experience']...
2026-02-15 15:00:32,670 | INFO | src.data.feature_scaling | Feature scaling completed
2026-02-15 15:00:33,260 | INFO | src.features.feature_engineering | Saved: fe_plots\Placement Probability Score.png
2026-02-15 15:00:33,260 | INFO | src.features.feature_engineering | Feature engineering completed successfully
2026-02-15 15:00:33,261 | INFO | src.data.split | Splitting data into train and test sets
2026-02-15 15:00:33,335 | INFO | src.data.split | Split completed: Train={X_train.shape}, Test={X_test.shape}
2026-02-15 15:00:34,092 | INFO | src.data.split | Train data saved at data/processed/processed_dataset.csv\train_raw.csv
2026-02-15 15:00:34,092 | INFO | src.data.split | Test data saved at data/processed/processed_dataset.csv\test_raw.csv
2026-02-15 15:05:35,871 | INFO | __main__ | ML Pipeline started
2026-02-15 15:05:35,874 | INFO | src.data.data_load | Loading data from data/raw/HR_Job_Placement_Dataset.csv
2026-02-15 15:05:36,002 | INFO | src.data.data_load | Data loaded successfully from data/raw/HR_Job_Placement_Dataset.csv, shape: (51500, 26)
2026-02-15 15:05:36,002 | INFO | src.data.data_cleaning | starting data cleaning process....
2026-02-15 15:05:36,135 | INFO | src.data.data_cleaning | Data cleaning completed
2026-02-15 15:05:36,136 | INFO | src.data.data_preprocess | Starting data preprocessing (encoding)....
2026-02-15 15:05:36,190 | INFO | src.data.data_preprocess | Data preprocessing (encoding) completed
2026-02-15 15:05:36,194 | INFO | eda.eda | Starting EDA...
2026-02-15 15:05:36,385 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:05:36,414 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:05:36,509 | INFO | eda.eda | Saved: eda_plots\Interview score vs job acceptance.png
2026-02-15 15:05:36,624 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:05:36,649 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:05:36,716 | INFO | eda.eda | Saved: eda_plots\Skills Match Percentage vs Job Placement.png
2026-02-15 15:05:36,871 | INFO | eda.eda | Saved: eda_plots\Acceptance Rate by Company Tier.png
2026-02-15 15:05:37,000 | INFO | eda.eda | Saved: eda_plots\Placement Probability vs Years of Experience.png
2026-02-15 15:05:37,150 | INFO | eda.eda | Saved: eda_plots\Competition level vs job acceptance.png
2026-02-15 15:05:39,185 | INFO | eda.eda | Saved: eda_plots\Correlation Matrix of Numeric Features.png
2026-02-15 15:05:39,186 | INFO | eda.eda | EDA analysis completed successfully
2026-02-15 15:05:39,186 | INFO | src.features.feature_engineering | Starting feature engineering...
2026-02-15 15:05:39,726 | INFO | src.features.feature_engineering | Saved: fe_plots\Experience Category vs Placement Probability.png
2026-02-15 15:05:40,266 | INFO | src.features.feature_engineering | Saved: fe_plots\Academic Performance vs Placement Probability.png
2026-02-15 15:05:40,398 | INFO | src.features.feature_engineering | Saved: fe_plots\Skills match level.png
2026-02-15 15:05:40,539 | INFO | src.features.feature_engineering | Saved: fe_plots\Interview performance category.png
2026-02-15 15:05:40,539 | INFO | src.data.feature_scaling | Scaling features: ['communication_score', 'technical_score', 'skills_match_percentage', 'interview_score', 'years_of_experience']...
2026-02-15 15:05:40,546 | INFO | src.data.feature_scaling | Feature scaling completed
2026-02-15 15:05:41,067 | INFO | src.features.feature_engineering | Saved: fe_plots\Placement Probability Score.png
2026-02-15 15:05:41,067 | INFO | src.features.feature_engineering | Feature engineering completed successfully
2026-02-15 15:05:41,068 | INFO | src.data.split | Splitting data into train and test sets
2026-02-15 15:05:41,102 | INFO | src.data.split | Split completed: Train={X_train.shape}, Test={X_test.shape}
2026-02-15 15:05:41,803 | INFO | src.data.split | Train data saved at data/processed/processed_dataset.csv\train_raw.csv
2026-02-15 15:05:41,803 | INFO | src.data.split | Test data saved at data/processed/processed_dataset.csv\test_raw.csv
2026-02-15 15:11:50,951 | INFO | __main__ | ML Pipeline started
2026-02-15 15:11:50,978 | INFO | src.data.data_load | Loading data from data/raw/HR_Job_Placement_Dataset.csv
2026-02-15 15:11:51,190 | INFO | src.data.data_load | Data loaded successfully from data/raw/HR_Job_Placement_Dataset.csv, shape: (51500, 26)
2026-02-15 15:11:51,191 | INFO | src.data.data_cleaning | starting data cleaning process....
2026-02-15 15:11:51,390 | INFO | src.data.data_cleaning | Data cleaning completed
2026-02-15 15:11:51,391 | INFO | src.data.data_preprocess | Starting data preprocessing (encoding)....
2026-02-15 15:11:51,464 | INFO | src.data.data_preprocess | Data preprocessing (encoding) completed
2026-02-15 15:11:51,468 | INFO | eda.eda | Starting EDA...
2026-02-15 15:11:52,875 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:11:52,908 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:11:53,026 | INFO | eda.eda | Saved: eda_plots\Interview score vs job acceptance.png
2026-02-15 15:11:53,143 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-02-15 15:11:53,179 | INFO | matplotlib.category | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
